fips,state,county,medianAge
1001,AL,Autauga County,39.2
1003,AL,Baldwin County,44.1
1005,AL,Barbour County,41.5
1007,AL,Bibb County,40.9
1009,AL,Blount County,41.2
1011,AL,Bullock County,39.8
1013,AL,Butler County,42.2
1015,AL,Calhoun County,39.3
1017,AL,Chambers County,43.3
1019,AL,Cherokee County,47.9
1021,AL,Chilton County,39.7
1023,AL,Choctaw County,47
1025,AL,Clarke County,42.6
1027,AL,Clay County,44.3
1029,AL,Cleburne County,41.9
1031,AL,Coffee County,39.3
1033,AL,Colbert County,42.3
1035,AL,Conecuh County,46.2
1037,AL,Coosa County,50.6
1039,AL,Covington County,43.2
1041,AL,Crenshaw County,41.2
1043,AL,Cullman County,41
1045,AL,Dale County,38
1047,AL,Dallas County,41.3
1049,AL,DeKalb County,40.1
1051,AL,Elmore County,39.5
1053,AL,Escambia County,40.1
1055,AL,Etowah County,42
1057,AL,Fayette County,43.3
1059,AL,Franklin County,39.2
1061,AL,Geneva County,42.9
1063,AL,Greene County,43.9
1065,AL,Hale County,40.1
1067,AL,Henry County,45
1069,AL,Houston County,40.3
1071,AL,Jackson County,43.7
1073,AL,Jefferson County,37.9
1075,AL,Lamar County,44.3
1077,AL,Lauderdale County,40.3
1079,AL,Lawrence County,42.4
1081,AL,Lee County,33.8
1083,AL,Limestone County,40.3
1085,AL,Lowndes County,42.3
1087,AL,Macon County,38.3
1089,AL,Madison County,38.5
1091,AL,Marengo County,42.1
1093,AL,Marion County,43.7
1095,AL,Marshall County,38.4
1097,AL,Mobile County,38.3
1099,AL,Monroe County,43.9
1101,AL,Montgomery County,36.9
1103,AL,Morgan County,40.7
1105,AL,Perry County,40.8
1107,AL,Pickens County,41.8
1109,AL,Pike County,31.5
1111,AL,Randolph County,43.8
1113,AL,Russell County,37.3
1115,AL,St. Clair County,40.9
1117,AL,Shelby County,40.4
1119,AL,Sumter County,34.6
1121,AL,Talladega County,42.1
1123,AL,Tallapoosa County,46.3
1125,AL,Tuscaloosa County,32.9
1127,AL,Walker County,41.8
1129,AL,Washington County,43.4
1131,AL,Wilcox County,42.4
1133,AL,Winston County,45.4
2013,AK,Aleutians East Borough,44.4
2016,AK,Aleutians West Census Area,42.1
2020,AK,Anchorage Municipality,35.1
2050,AK,Bethel Census Area,27.7
2060,AK,Bristol Bay Borough,39
2063,AK,Chugach Census Area,39.5
2066,AK,Copper River Census Area,41
2068,AK,Denali Borough,40.6
2070,AK,Dillingham Census Area,31.4
2090,AK,Fairbanks North Star Borough,32.8
2100,AK,Haines Borough,48.9
2105,AK,Hoonah-Angoon Census Area,51.4
2110,AK,Juneau City and Borough,39.8
2122,AK,Kenai Peninsula Borough,41.2
2130,AK,Ketchikan Gateway Borough,40.6
2150,AK,Kodiak Island Borough,35.8
2158,AK,Kusilvak Census Area,23.3
2164,AK,Lake and Peninsula Borough,35.2
2170,AK,Matanuska-Susitna Borough,36.6
2180,AK,Nome Census Area,29.1
2185,AK,North Slope Borough,35.6
2188,AK,Northwest Arctic Borough,27.8
2195,AK,Petersburg Borough,42.9
2198,AK,Prince of Wales-Hyder Census Area,43.7
2220,AK,Sitka City and Borough,40.6
2230,AK,Skagway Municipality,43.5
2240,AK,Southeast Fairbanks Census Area,37.5
2275,AK,Wrangell City and Borough,50.2
2282,AK,Yakutat City and Borough,44
2290,AK,Yukon-Koyukuk Census Area,36.8
4001,AZ,Apache County,36.3
4003,AZ,Cochise County,42.3
4005,AZ,Coconino County,32.7
4007,AZ,Gila County,51.2
4009,AZ,Graham County,34.1
4011,AZ,Greenlee County,35.4
4012,AZ,La Paz County,58.5
4013,AZ,Maricopa County,37.5
4015,AZ,Mohave County,53.3
4017,AZ,Navajo County,39.1
4019,AZ,Pima County,39.5
4021,AZ,Pinal County,40.1
4023,AZ,Santa Cruz County,37.7
4025,AZ,Yavapai County,55.1
4027,AZ,Yuma County,35.8
5001,AR,Arkansas County,42.5
5003,AR,Ashley County,43.8
5005,AR,Baxter County,51.5
5007,AR,Benton County,36
5009,AR,Boone County,41.9
5011,AR,Bradley County,40.7
5013,AR,Calhoun County,45.4
5015,AR,Carroll County,44.4
5017,AR,Chicot County,43.5
5019,AR,Clark County,32.1
5021,AR,Clay County,43.1
5023,AR,Cleburne County,49.5
5025,AR,Cleveland County,44
5027,AR,Columbia County,35.2
5029,AR,Conway County,42.2
5031,AR,Craighead County,34.6
5033,AR,Crawford County,39.6
5035,AR,Crittenden County,35.9
5037,AR,Cross County,40.9
5039,AR,Dallas County,46.6
5041,AR,Desha County,40.4
5043,AR,Drew County,37.7
5045,AR,Faulkner County,34
5047,AR,Franklin County,42.2
5049,AR,Fulton County,47.1
5051,AR,Garland County,45.8
5053,AR,Grant County,41.6
5055,AR,Greene County,38.4
5057,AR,Hempstead County,40
5059,AR,Hot Spring County,42.7
5061,AR,Howard County,39
5063,AR,Independence County,39.4
5065,AR,Izard County,47.2
5067,AR,Jackson County,39.7
5069,AR,Jefferson County,39.7
5071,AR,Johnson County,38.7
5073,AR,Lafayette County,47.8
5075,AR,Lawrence County,40.2
5077,AR,Lee County,40.8
5079,AR,Lincoln County,38.8
5081,AR,Little River County,43.3
5083,AR,Logan County,44.3
5085,AR,Lonoke County,37.5
5087,AR,Madison County,41
5089,AR,Marion County,51.7
5091,AR,Miller County,39
5093,AR,Mississippi County,36.9
5095,AR,Monroe County,45.4
5097,AR,Montgomery County,51.1
5099,AR,Nevada County,43.4
5101,AR,Newton County,48.9
5103,AR,Ouachita County,42.8
5105,AR,Perry County,44.4
5107,AR,Phillips County,40.8
5109,AR,Pike County,43.2
5111,AR,Poinsett County,39.7
5113,AR,Polk County,44.4
5115,AR,Pope County,36.9
5117,AR,Prairie County,45.8
5119,AR,Pulaski County,37.9
5121,AR,Randolph County,39.3
5123,AR,St. Francis County,39.3
5125,AR,Saline County,40.4
5127,AR,Scott County,42.8
5129,AR,Searcy County,48.5
5131,AR,Sebastian County,38
5133,AR,Sevier County,35
5135,AR,Sharp County,47
