fips,state,county,lessThanHighSchoolProp
0,US,United States,0.111259597
1000,AL,Alabama,0.125972998
1001,AL,Autauga County,0.104155097
1003,AL,Baldwin County,0.089858437
1005,AL,Barbour County,0.243289803
1007,AL,Bibb County,0.194619169
1009,AL,Blount County,0.163519229
1011,AL,Bullock County,0.223934855
1013,AL,Butler County,0.144351464
1015,AL,Calhoun County,0.147851438
1017,AL,Chambers County,0.17218463
1019,AL,Cherokee County,0.201779128
1021,AL,Chilton County,0.182386847
1023,AL,Choctaw County,0.194160112
1025,AL,Clarke County,0.177761387
1027,AL,Clay County,0.169926773
1029,AL,Cleburne County,0.169428923
1031,AL,Coffee County,0.136437796
1033,AL,Colbert County,0.132037633
1035,AL,Conecuh County,0.124293133
1037,AL,Coosa County,0.149050827
1039,AL,Covington County,0.148177586
1041,AL,Crenshaw County,0.187695291
1043,AL,Cullman County,0.157852154
1045,AL,Dale County,0.151550318
1047,AL,Dallas County,0.140924807
1049,AL,DeKalb County,0.217909953
1051,AL,Elmore County,0.123550653
1053,AL,Escambia County,0.182648935
1055,AL,Etowah County,0.138013727
1057,AL,Fayette County,0.169681684
1059,AL,Franklin County,0.205016613
1061,AL,Geneva County,0.175082385
1063,AL,Greene County,0.155583665
1065,AL,Hale County,0.187314172
1067,AL,Henry County,0.186854614
1069,AL,Houston County,0.122432333
1071,AL,Jackson County,0.175740539
1073,AL,Jefferson County,0.090386111
1075,AL,Lamar County,0.175412143
1077,AL,Lauderdale County,0.113064155
1079,AL,Lawrence County,0.167659538
1081,AL,Lee County,0.086246954
1083,AL,Limestone County,0.134794914
1085,AL,Lowndes County,0.152558918
1087,AL,Macon County,0.164845681
1089,AL,Madison County,0.080271378
1091,AL,Marengo County,0.1341613
1093,AL,Marion County,0.186669841
1095,AL,Marshall County,0.164844498
1097,AL,Mobile County,0.121403596
1099,AL,Monroe County,0.175957309
1101,AL,Montgomery County,0.122708437
1103,AL,Morgan County,0.153159211
1105,AL,Perry County,0.213669065
1107,AL,Pickens County,0.167288379
1109,AL,Pike County,0.127068406
1111,AL,Randolph County,0.197222402
1113,AL,Russell County,0.14745631
1115,AL,St. Clair County,0.139877668
1117,AL,Shelby County,0.063757678
1119,AL,Sumter County,0.127268015
1121,AL,Talladega County,0.171068459
1123,AL,Tallapoosa County,0.184385608
1125,AL,Tuscaloosa County,0.103577525
1127,AL,Walker County,0.177086548
1129,AL,Washington County,0.138306712
1131,AL,Wilcox County,0.207576181
1133,AL,Winston County,0.206864128
2000,AK,Alaska,0.067444703
2010,AK,Aleutian Islands,0
2013,AK,Aleutians East Borough,0.152809854
2016,AK,Aleutians West Census Area,0.089630016
2020,AK,Anchorage Municipality,0.058449553
2050,AK,Bethel Census Area,0.180349127
2060,AK,Bristol Bay Borough,0.052877138
2063,AK,"Chugach Census Area, Alaska",0.045843521
2066,AK,"Copper River Census Area, Alaska",0.059078591
2068,AK,Denali Borough,0.016304348
2070,AK,Dillingham Census Area,0.134582033
2090,AK,Fairbanks North Star Borough,0.055311935
2100,AK,Haines Borough,0.023060797
2105,AK,Hoonah-Angoon Census Area,0.06256572
2110,AK,Juneau City and Borough,0.045954352
2122,AK,Kenai Peninsula Borough,0.060492272
2130,AK,Ketchikan Gateway Borough,0.060299969
2150,AK,Kodiak Island Borough,0.095093746
2158,AK,Kusilvak Census Area,0.204417178
2160,AK,Kuskokwim Division,0
2164,AK,Lake and Peninsula Borough,0.107255521
2170,AK,Matanuska-Susitna Borough,0.062811622
2180,AK,Nome Census Area,0.123621487
2185,AK,North Slope Borough,0.123447981
2188,AK,Northwest Arctic Borough,0.156876457
2195,AK,Petersburg Census Area,0.085106383
2198,AK,Prince of Wales-Hyder Census Area,0.076462128
2201,AK,Prince of Wales-Outer Ketchikan Census Area,0
2220,AK,Sitka City and Borough,0.051905388
2230,AK,Skagway Municipality,0.095103578
2231,AK,Skagway-Yakutat-Angoon Census Area,0
2232,AK,Skagway-Hoonah-Angoon Census Area,0
2240,AK,Southeast Fairbanks Census Area,0.074256318
2250,AK,Upper Yukon Division,0
2261,AK,Valdez-Cordova Census Area,0
2275,AK,Wrangell City and Borough,0.152271273
2280,AK,Wrangell-Petersburg Census Area,0
2282,AK,Yakutat City and Borough,0.054123711
2290,AK,Yukon-Koyukuk Census Area,0.128772636
4000,AZ,Arizona,0.116957258
4001,AZ,Apache County,0.178202162
4003,AZ,Cochise County,0.113192657
4005,AZ,Coconino County,0.090326922
4007,AZ,Gila County,0.130586379
4009,AZ,Graham County,0.165516094
4011,AZ,Greenlee County,0.123221104
4012,AZ,La Paz County,0.160066758
4013,AZ,Maricopa County,0.111574958
4015,AZ,Mohave County,0.12551204
4017,AZ,Navajo County,0.15451962
4019,AZ,Pima County,0.106491174
4021,AZ,Pinal County,0.124262839
4023,AZ,Santa Cruz County,0.222555252
4025,AZ,Yavapai County,0.084487573
4027,AZ,Yuma County,0.250899079
5000,AR,Arkansas,0.123050626
5001,AR,Arkansas County,0.133133133
5003,AR,Ashley County,0.148236522
5005,AR,Baxter County,0.113458381
5007,AR,Benton County,0.102859799
5009,AR,Boone County,0.108881755
5011,AR,Bradley County,0.158736726
5013,AR,Calhoun County,0.157940663
5015,AR,Carroll County,0.147910291
5017,AR,Chicot County,0.216052854
5019,AR,Clark County,0.094644982
5021,AR,Clay County,0.157050353
5023,AR,Cleburne County,0.117532678
5025,AR,Cleveland County,0.092930754
5027,AR,Columbia County,0.129812825
5029,AR,Conway County,0.118628746
5031,AR,Craighead County,0.103407689
5033,AR,Crawford County,0.150786852
5035,AR,Crittenden County,0.15499757
5037,AR,Cross County,0.182003916
5039,AR,Dallas County,0.122532189
5041,AR,Desha County,0.191123188
5043,AR,Drew County,0.13034915
5045,AR,Faulkner County,0.068893364
5047,AR,Franklin County,0.135219859
5049,AR,Fulton County,0.141046324
5051,AR,Garland County,0.096225684
5053,AR,Grant County,0.08403696
5055,AR,Greene County,0.113388645
5057,AR,Hempstead County,0.161663331
5059,AR,Hot Spring County,0.114354716
5061,AR,Howard County,0.119479312
5063,AR,Independence County,0.142159565
5065,AR,Izard County,0.178967868
5067,AR,Jackson County,0.165178944
5069,AR,Jefferson County,0.115985434
5071,AR,Johnson County,0.199197782
5073,AR,Lafayette County,0.189224704
5075,AR,Lawrence County,0.152078775
5077,AR,Lee County,0.182618438
5079,AR,Lincoln County,0.187924222
5081,AR,Little River County,0.101098114
5083,AR,Logan County,0.122715232
5085,AR,Lonoke County,0.100596882
5087,AR,Madison County,0.150887574
5089,AR,Marion County,0.138270448
5091,AR,Miller County,0.131028581
5093,AR,Mississippi County,0.173857821
5095,AR,Monroe County,0.211890557
5097,AR,Montgomery County,0.160411151
5099,AR,Nevada County,0.090321454
5101,AR,Newton County,0.147801684
5103,AR,Ouachita County,0.124384313
5105,AR,Perry County,0.087023977
5107,AR,Phillips County,0.183126822
5109,AR,Pike County,0.121046739
5111,AR,Poinsett County,0.185103011
5113,AR,Polk County,0.115308297
5115,AR,Pope County,0.157560045
5117,AR,Prairie County,0.131618257
5119,AR,Pulaski County,0.085228699
5121,AR,Randolph County,0.144123467
5123,AR,St. Francis County,0.176805514
5125,AR,Saline County,0.081932823
5127,AR,Scott County,0.200404566
5129,AR,Searcy County,0.198474606
5131,AR,Sebastian County,0.154226823
5133,AR,Sevier County,0.26469126
5135,AR,Sharp County,0.177685289
5137,AR,Stone County,0.153710442
5139,AR,Union County,0.136696016
5141,AR,Van Buren County,0.149403748
5143,AR,Washington County,0.135028762
5145,AR,White County,0.142141903
5147,AR,Woodruff County,0.175575934
5149,AR,Yell County,0.225458468
6000,CA,California,0.15807829
6001,CA,Alameda County,0.109955665
6003,CA,Alpine County,0.062951496
6005,CA,Amador County,0.086903073
6007,CA,Butte County,0.096604697
6009,CA,Calaveras County,0.091957312
6011,CA,Colusa County,0.266747956
6013,CA,Contra Costa County,0.102561427
6015,CA,Del Norte County,0.194132873
6017,CA,El Dorado County,0.053218496
6019,CA,Fresno County,0.220923962
6021,CA,Glenn County,0.235213731
6023,CA,Humboldt County,0.090081543
6025,CA,Imperial County,0.295600678
6027,CA,Inyo County,0.079150298
6029,CA,Kern County,0.24052093
6031,CA,Kings County,0.263698957
6033,CA,Lake County,0.134048477
6035,CA,Lassen County,0.199523085
6037,CA,Los Angeles County,0.19957163
6039,CA,Madera County,0.281912897
6041,CA,Marin County,0.065760249
6043,CA,Mariposa County,0.091245467
6045,CA,Mendocino County,0.133597335
6047,CA,Merced County,0.296468654
6049,CA,Modoc County,0.145490555
6051,CA,Mono County,0.127829841
6053,CA,Monterey County,0.270105232
6055,CA,Napa County,0.147556954
6057,CA,Nevada County,0.04870196
