fips,state,medianHouseholdIncome
0,US,69717
1000,AL,53990
1001,AL,66444
1003,AL,65658
1005,AL,38649
1007,AL,48454
1009,AL,56894
1011,AL,32027
1013,AL,39442
1015,AL,48166
1017,AL,45447
1019,AL,46365
1021,AL,55142
1023,AL,40601
1025,AL,45447
1027,AL,47036
1029,AL,49769
1031,AL,55052
1033,AL,53341
1035,AL,35621
1037,AL,45954
1039,AL,44188
1041,AL,38037
1043,AL,55036
1045,AL,50086
1047,AL,33159
1049,AL,45062
1051,AL,63147
1053,AL,40506
1055,AL,46308
1057,AL,46122
1059,AL,45440
1061,AL,43206
1063,AL,30225
1065,AL,41995
1067,AL,56389
1069,AL,48701
1071,AL,46998
1073,AL,55210
1075,AL,44265
1077,AL,52222
1079,AL,55555
1081,AL,54188
1083,AL,69207
1085,AL,36993
1087,AL,35354
1089,AL,78386
1091,AL,42048
1093,AL,44636
1095,AL,50858
1097,AL,49848
1099,AL,40997
1101,AL,50645
1103,AL,56340
1105,AL,31522
1107,AL,43926
1109,AL,38945
1111,AL,45889
1113,AL,44849
1115,AL,63015
1117,AL,85457
1119,AL,29490
1121,AL,47331
1123,AL,47444
1125,AL,56274
1127,AL,46343
1129,AL,49795
1131,AL,30071
1133,AL,47176
2000,AK,78437
2013,AK,71492
2016,AK,86050
2020,AK,86152
2050,AK,54849
2060,AK,88516
2063,AK,88029
2066,AK,61288
2068,AK,85251
2070,AK,58389
2090,AK,76754
2100,AK,63155
2105,AK,56555
2110,AK,89922
2122,AK,71111
2130,AK,73260
2150,AK,80863
2158,AK,38203
2164,AK,51205
2170,AK,80164
2180,AK,65578
2185,AK,95041
2188,AK,67586
2195,AK,71878
2198,AK,56226
2201,AK,
2220,AK,78248
2230,AK,65712
2232,AK,
2240,AK,68347
2261,AK,
2275,AK,64732
2280,AK,
2282,AK,73014
2290,AK,44934
4000,AZ,68967
4001,AZ,41002
4003,AZ,55748
4005,AZ,63829
4007,AZ,52665
4009,AZ,52644
4011,AZ,71669
4012,AZ,44330
4013,AZ,76230
4015,AZ,48169
4017,AZ,49057
4019,AZ,60604
4021,AZ,70835
4023,AZ,49216
4025,AZ,57676
4027,AZ,55991
5000,AR,52577
5001,AR,50928
5003,AR,44030
5005,AR,45116
5007,AR,78974
5009,AR,48700
5011,AR,40454
5013,AR,49977
5015,AR,49225
5017,AR,34857
5019,AR,47158
5021,AR,41419
5023,AR,50200
5025,AR,53705
5027,AR,44651
5029,AR,47741
5031,AR,52490
5033,AR,54065
5035,AR,43821
5037,AR,45262
5039,AR,42442
5041,AR,39042
5043,AR,46572
5045,AR,57573
5047,AR,47834
5049,AR,41557
5051,AR,48053
5053,AR,67088
5055,AR,53920
5057,AR,41281
5059,AR,51662
5061,AR,42733
5063,AR,48957
5065,AR,40788
5067,AR,37815
5069,AR,46100
5071,AR,43003
5073,AR,38777
5075,AR,44661
5077,AR,29714
5079,AR,45435
5081,AR,46619
5083,AR,45558
5085,AR,64633
5087,AR,49691
5089,AR,42892
5091,AR,45450
5093,AR,41007
5095,AR,37113
5097,AR,41359
5099,AR,40283
5101,AR,41823
5103,AR,47169
5105,AR,51204
5107,AR,32419
5109,AR,43710
5111,AR,42639
5113,AR,43166
5115,AR,47049
5117,AR,59367
5119,AR,53597
5121,AR,43484
5123,AR,36781
5125,AR,68107
5127,AR,39974
5129,AR,35422
5131,AR,49170
5133,AR,46651
5135,AR,39183
5137,AR,37782
5139,AR,47315
5141,AR,39629
5143,AR,64218
5145,AR,51660
5147,AR,37331
5149,AR,48526
6000,CA,84831
6001,CA,108971
6003,CA,87570
6005,CA,68159
6007,CA,62982
6009,CA,68298
6011,CA,60725
6013,CA,110595
6015,CA,48108
6017,CA,87689
6019,CA,63140
6021,CA,56741
6023,CA,53924
6025,CA,50970
6027,CA,62381
6029,CA,57926
6031,CA,60810
6033,CA,55801
6035,CA,56923
6037,CA,77356
6039,CA,60241
6041,CA,118472
6043,CA,60377
6045,CA,57516
6047,CA,54703
6049,CA,49273
6051,CA,70945
6053,CA,81404
6055,CA,94127
6057,CA,77220
6059,CA,100210
6061,CA,103588
6063,CA,58154
6065,CA,78690
6067,CA,79611
6069,CA,95187
6071,CA,74218
6073,CA,90756
6075,CA,119776
6077,CA,79598
6079,CA,79688
6081,CA,131151
6083,CA,83185
6085,CA,141161
6087,CA,90370
6089,CA,60187
6091,CA,60659
6093,CA,50069
6095,CA,87348
6097,CA,92999
6099,CA,73151
6101,CA,63246
6103,CA,53654
6105,CA,45508
6107,CA,57398
6109,CA,61396
6111,CA,95819
6113,CA,76247
6115,CA,60764
8000,CO,82228
8001,CO,80831
8003,CO,51009
8005,CO,84308
8007,CO,68025
8009,CO,44257
8011,CO,37185
8013,CO,90327
8014,CO,106413
8015,CO,65987
8017,CO,58544
8019,CO,78312
8021,CO,45931
8023,CO,35416
8025,CO,38049
8027,CO,63505
8029,CO,52403
8031,CO,81262
8033,CO,55157
8035,CO,129839
8037,CO,94928
8039,CO,114853
8041,CO,79094
8043,CO,51732
8045,CO,78940
8047,CO,82370
8049,CO,78779
8051,CO,63872
8053,CO,66213
8055,CO,46798
8057,CO,55535
8059,CO,94401
8061,CO,61430
8063,CO,56272
8065,CO,64416
8067,CO,74774
8069,CO,78681
8071,CO,42708
8073,CO,51975
8075,CO,53234
8077,CO,63531
8079,CO,62213
8081,CO,64133
8083,CO,53337
8085,CO,56686
8087,CO,61849
8089,CO,45658
8091,CO,80686
8093,CO,84361
8095,CO,56577
8097,CO,96316
8099,CO,48337
8101,CO,56311
8103,CO,65334
8105,CO,52353
8107,CO,93776
8109,CO,43366
8111,CO,54146
8113,CO,79742
8115,CO,45645
8117,CO,90297
8119,CO,76715
8121,CO,57522
8123,CO,84826
8125,CO,56161
9000,CT,83628
9001,CT,100703
9003,CT,79958
9005,CT,84689
9007,CT,94735
9009,CT,75094
9011,CT,78552
9013,CT,86430
9015,CT,71581
10000,DE,71636
10001,DE,64670
10003,DE,74088
10005,DE,70500
11000,DC,91072
11001,DC,91072
12000,FL,63054
12001,FL,56006
12003,FL,60994
12005,FL,60106
12007,FL,54911
12009,FL,65280
12011,FL,65536
12013,FL,43210
12015,FL,59547
12017,FL,48237
12019,FL,76711
12021,FL,75799
12023,FL,52035
12027,FL,43256
12029,FL,39029
12031,FL,60121
12033,FL,54492
12035,FL,65783
12037,FL,44684
12039,FL,45678
12041,FL,52168
12043,FL,46389
12045,FL,51684
12047,FL,39522
12049,FL,45964
12051,FL,48841
12053,FL,56443
12055,FL,47820
12057,FL,65818
12059,FL,44139
12061,FL,61351
12063,FL,42721
12065,FL,56130
12067,FL,45732
12069,FL,64662
12071,FL,66426
12073,FL,57246
12075,FL,45494
12077,FL,48271
12079,FL,43444
12081,FL,67929
12083,FL,54555
12085,FL,67059
12086,FL,58905
12087,FL,68975
12089,FL,78069
12091,FL,69053
12093,FL,47642
12095,FL,64579
12097,FL,60495
12099,FL,70024
12101,FL,59555
12103,FL,61851
12105,FL,56344
12107,FL,38759
12109,FL,94662
12111,FL,62378
12113,FL,80837
12115,FL,71630
12117,FL,70470
12119,FL,69707
12121,FL,46284
12123,FL,47083
12125,FL,48667
12127,FL,58246
12129,FL,71962
12131,FL,64779
12133,FL,47930
13000,GA,66507
13001,GA,46530
13003,GA,40303
13005,GA,43154
13007,GA,44106
13009,GA,44685
13011,GA,60485
13013,GA,67646
13015,GA,67604
13017,GA,39863
13019,GA,46404
13021,GA,47859
13023,GA,51770
13025,GA,48076
13027,GA,40936
13029,GA,87334
13031,GA,53105
13033,GA,46977
13035,GA,61471
13037,GA,38232
13039,GA,63482
13043,GA,41593
13045,GA,59894
13047,GA,64245
13049,GA,47229
13051,GA,61527
13053,GA,53786
13055,GA,42974
13057,GA,96997
13059,GA,49145
13061,GA,35957
13063,GA,51422
13065,GA,44799
13067,GA,87532
13069,GA,36708
13071,GA,44485
13073,GA,87281
13075,GA,44995
13077,GA,85182
13079,GA,54442
13081,GA,41505
13083,GA,64054
13085,GA,76903
13087,GA,42960
13089,GA,70756
13091,GA,40856
13093,GA,43270
13095,GA,41985
13097,GA,66162
13099,GA,38817
13101,GA,42241
13103,GA,76626
13105,GA,42866
13107,GA,45252
13109,GA,41847
13111,GA,54446
13113,GA,92319
13115,GA,59685
13117,GA,120919
13119,GA,48045
13121,GA,82820
13123,GA,57970
13125,GA,49175
13127,GA,60685
13129,GA,56053
13131,GA,42171
13133,GA,65261
13135,GA,75021
13137,GA,55987
13139,GA,68057
13141,GA,35830
13143,GA,62472
13145,GA,80911
13147,GA,59149
13149,GA,50379
13151,GA,76577
13153,GA,71609
13155,GA,44540
13157,GA,72486
13159,GA,61354
13161,GA,42192
13163,GA,42461
13165,GA,38497
13167,GA,37703
13169,GA,61509
13171,GA,55933
13173,GA,47789
13175,GA,47905
13177,GA,76546
13179,GA,50696
13181,GA,50080
13183,GA,55601
13185,GA,46565
13187,GA,64077
13189,GA,44597
13191,GA,47651
13193,GA,35660
13195,GA,56526
13197,GA,39717
13199,GA,46799
13201,GA,44814
13205,GA,42539
13207,GA,65697
13209,GA,47618
13211,GA,67187
13213,GA,53297
13215,GA,52090
13217,GA,71366
13219,GA,112581
13221,GA,57215
13223,GA,89632
13225,GA,54921
13227,GA,72539
13229,GA,51688
13231,GA,75668
13233,GA,49061
13235,GA,45594
13237,GA,55826
13239,GA,38357
13241,GA,58463
13243,GA,34883
13245,GA,47816
13247,GA,65746
13249,GA,53369
13251,GA,45061
13253,GA,41917
13255,GA,52902
13257,GA,47909
13259,GA,37318
13261,GA,39008
13263,GA,42646
13265,GA,40045
13267,GA,44225
13269,GA,41030
13271,GA,38091
13273,GA,40549
13275,GA,50154
13277,GA,48717
13279,GA,45253
13281,GA,51810
13283,GA,40947
13285,GA,49557
13287,GA,37477
13289,GA,47382
13291,GA,59494
13293,GA,47140
13295,GA,47810
13297,GA,73839
13299,GA,43065
13301,GA,40361
13303,GA,46051
13305,GA,46314
13307,GA,44084
13309,GA,35664
13311,GA,61473
13313,GA,56973
13315,GA,38449
13317,GA,42567
13319,GA,46475
13321,GA,48943
15000,HI,85547
15001,HI,67896
15003,HI,90176
15007,HI,76719
15009,HI,75421
16000,ID,66318
16001,ID,79345
16003,ID,51829
16005,ID,60058
16007,ID,60265
16009,ID,53667
16011,ID,63576
16013,ID,86735
16015,ID,71545
16017,ID,61940
16019,ID,69880
16021,ID,55285
16023,ID,52221
16025,ID,57230
16027,ID,64301
16029,ID,66697
16031,ID,63356
16033,ID,52838
16035,ID,53344
16037,ID,53846
16039,ID,51436
16041,ID,59974
16043,ID,58878
16045,ID,58562
16047,ID,59174
16049,ID,51056
16051,ID,75957
16053,ID,59040
16055,ID,68043
16057,ID,59436
16059,ID,57499
16061,ID,50128
16063,ID,57111
16065,ID,55721
16067,ID,61010
16069,ID,61951
16071,ID,60769
16073,ID,52374
16075,ID,58885
16077,ID,57322
16079,ID,47699
16081,ID,84015
16083,ID,57487
16085,ID,69425
16087,ID,51067
17000,IL,72215
17001,IL,59777
17003,IL,41816
17005,IL,57287
17007,IL,71557
17009,IL,51294
17011,IL,61431
17013,IL,63586
17015,IL,54450
17017,IL,60961
17019,IL,58787
17021,IL,52500
17023,IL,58741
17025,IL,51042
17027,IL,77272
17029,IL,47693
17031,IL,72063
17033,IL,59128
17035,IL,69740
17037,IL,67081
17039,IL,64325
17041,IL,65447
17043,IL,99536
17045,IL,56772
17047,IL,53779
17049,IL,69988
17051,IL,52610
17053,IL,57483
17055,IL,49510
17057,IL,50978
17059,IL,48424
17061,IL,53394
17063,IL,83254
17065,IL,55409
17067,IL,56700
17069,IL,47144
17071,IL,59415
17073,IL,62683
17075,IL,60736
17077,IL,43334
17079,IL,59069
17081,IL,53294
17083,IL,68675
17085,IL,67839
17087,IL,57073
17089,IL,90941
17091,IL,63880
17093,IL,100483
17095,IL,47559
17097,IL,95895
17099,IL,64447
17101,IL,46525
17103,IL,60542
17105,IL,61569
17107,IL,58939
17109,IL,53024
17111,IL,92522
17113,IL,71309
17115,IL,48245
17117,IL,57755
17119,IL,65886
17121,IL,55292
17123,IL,64132
17125,IL,58828
17127,IL,52680
17129,IL,75687
17131,IL,64731
17133,IL,93054
17135,IL,59116
17137,IL,54644
17139,IL,69652
17141,IL,74472
17143,IL,56460
17145,IL,53071
17147,IL,81583
17149,IL,54474
17151,IL,50404
17153,IL,42738
17155,IL,74798
17157,IL,58694
17159,IL,56852
17161,IL,58171
17163,IL,66422
17165,IL,50914
17167,IL,68476
17169,IL,57839
17171,IL,63510
