fips,state,county,POVALL_2021,CI90LBALL_2021,CI90UBALL_2021,PCTPOVALL_2021
00000,US,United States,41393176,41149497,41636855,12.8
01000,AL,Alabama,800848,782169,819527,16.3
01001,AL,Autauga County,6296,4772,7820,10.7
01003,AL,Baldwin County,25526,21599,29453,10.8
01005,AL,Barbour County,5089,3773,6405,23
01007,AL,Bibb County,4204,3324,5084,20.6
01009,AL,Blount County,6992,5516,8468,12
01011,AL,Bullock County,2764,2161,3367,32.1
01013,AL,Butler County,4226,3385,5067,22.7
01015,AL,Calhoun County,21630,18671,24589,19.2
01017,AL,Chambers County,6699,5333,8065,19.7
01019,AL,Cherokee County,4513,3675,5351,18.2
01021,AL,Chilton County,6973,5520,8426,15.5
01023,AL,Choctaw County,2893,2303,3483,23.3
01025,AL,Clarke County,4366,3390,5342,19.4
01027,AL,Clay County,2560,2083,3037,18.4
01029,AL,Cleburne County,2236,1723,2749,15
01031,AL,Coffee County,8516,7320,9712,15.9
01033,AL,Colbert County,9396,7821,10971,16.5
01035,AL,Conecuh County,2528,1893,3163,22.4
01037,AL,Coosa County,1754,1305,2203,17.1
01039,AL,Covington County,7317,6099,8535,19.8
01041,AL,Crenshaw County,2267,1722,2812,17.5
01043,AL,Cullman County,11898,9659,14137,13.5
01045,AL,Dale County,7587,6146,9028,15.7
01047,AL,Dallas County,10914,8700,13128,29.5
01049,AL,DeKalb County,13783,11773,15793,19.4
01051,AL,Elmore County,10138,8210,12066,12
01053,AL,Escambia County,8147,6711,9583,23.8
01055,AL,Etowah County,17605,14857,20353,17.4
01057,AL,Fayette County,3123,2513,3733,19.6
01059,AL,Franklin County,5995,4822,7168,18.9
01061,AL,Geneva County,5566,4539,6593,21.1
01063,AL,Greene County,2520,1994,3046,33.2
01065,AL,Hale County,3221,2452,3990,22.1
01067,AL,Henry County,2694,2063,3325,15.6
01069,AL,Houston County,20210,18330,22090,19.1
01071,AL,Jackson County,9851,8426,11276,18.9
01073,AL,Jefferson County,110131,101051,119211,16.9
01075,AL,Lamar County,2300,1751,2849,17
01077,AL,Lauderdale County,14838,12398,17278,16.2
01079,AL,Lawrence County,4566,3383,5749,13.9
01081,AL,Lee County,30989,27246,34732,18
01083,AL,Limestone County,10363,8335,12391,9.9
01085,AL,Lowndes County,2786,2207,3365,28.3
01087,AL,Macon County,4725,3675,5775,27.5
01089,AL,Madison County,39316,33460,45172,10.2
01091,AL,Marengo County,4602,3718,5486,24.6
01093,AL,Marion County,5209,4170,6248,18.3
