fips,state,county,unemploymentRate
0,US,United States,0.037
1000,AL,Alabama,0.026
1001,AL,"Autauga County, AL",0.023
1003,AL,"Baldwin County, AL",0.024
1005,AL,"Barbour County, AL",0.041
1007,AL,"Bibb County, AL",0.025
1009,AL,"Blount County, AL",0.022
1011,AL,"Bullock County, AL",0.028
1013,AL,"Butler County, AL",0.034
1015,AL,"Calhoun County, AL",0.03
1017,AL,"Chambers County, AL",0.026
1019,AL,"Cherokee County, AL",0.023
1021,AL,"Chilton County, AL",0.023
1023,AL,"Choctaw County, AL",0.038
1025,AL,"Clarke County, AL",0.05
1027,AL,"Clay County, AL",0.023
1029,AL,"Cleburne County, AL",0.024
1031,AL,"Coffee County, AL",0.025
1033,AL,"Colbert County, AL",0.03
1035,AL,"Conecuh County, AL",0.035
1037,AL,"Coosa County, AL",0.025
1039,AL,"Covington County, AL",0.026
1041,AL,"Crenshaw County, AL",0.026
1043,AL,"Cullman County, AL",0.021
1045,AL,"Dale County, AL",0.026
1047,AL,"Dallas County, AL",0.05
1049,AL,"DeKalb County, AL",0.023
1051,AL,"Elmore County, AL",0.022
1053,AL,"Escambia County, AL",0.031
1055,AL,"Etowah County, AL",0.03
1057,AL,"Fayette County, AL",0.027
1059,AL,"Franklin County, AL",0.023
1061,AL,"Geneva County, AL",0.024
1063,AL,"Greene County, AL",0.044
1065,AL,"Hale County, AL",0.039
1067,AL,"Henry County, AL",0.027
1069,AL,"Houston County, AL",0.026
1071,AL,"Jackson County, AL",0.025
1073,AL,"Jefferson County, AL",0.026
1075,AL,"Lamar County, AL",0.027
1077,AL,"Lauderdale County, AL",0.026
1079,AL,"Lawrence County, AL",0.024
1081,AL,"Lee County, AL",0.024
1083,AL,"Limestone County, AL",0.021
1085,AL,"Lowndes County, AL",0.052
1087,AL,"Macon County, AL",0.038
1089,AL,"Madison County, AL",0.021
1091,AL,"Marengo County, AL",0.034
1093,AL,"Marion County, AL",0.025
1095,AL,"Marshall County, AL",0.021
1097,AL,"Mobile County, AL",0.032
1099,AL,"Monroe County, AL",0.041
1101,AL,"Montgomery County, AL",0.031
1103,AL,"Morgan County, AL",0.021
1105,AL,"Perry County, AL",0.053
1107,AL,"Pickens County, AL",0.033
1109,AL,"Pike County, AL",0.027
1111,AL,"Randolph County, AL",0.025
1113,AL,"Russell County, AL",0.026
1115,AL,"St. Clair County, AL",0.022
1117,AL,"Shelby County, AL",0.018
1119,AL,"Sumter County, AL",0.035
1121,AL,"Talladega County, AL",0.031
1123,AL,"Tallapoosa County, AL",0.029
1125,AL,"Tuscaloosa County, AL",0.025
1127,AL,"Walker County, AL",0.028
1129,AL,"Washington County, AL",0.036
1131,AL,"Wilcox County, AL",0.078
1133,AL,"Winston County, AL",0.024
2000,AK,Alaska,0.04
2013,AK,"Aleutians East Borough, AK",0.02
2016,AK,"Aleutians West Census Area, AK",0.031
2020,AK,"Anchorage Borough/municipality, AK",0.033
2050,AK,"Bethel Census Area, AK",0.088
2060,AK,"Bristol Bay Borough, AK",0.043
2063,AK,"Chugach Census Area, AK",0.029
2066,AK,"Copper River Census Area, AK",0.093
2068,AK,"Denali Borough, AK",0.063
2070,AK,"Dillingham Census Area, AK",0.056
2090,AK,"Fairbanks North Star Borough, AK",0.037
2100,AK,"Haines Borough, AK",0.066
2105,AK,"Hoonah-Angoon Census Area, AK",0.056
2110,AK,"Juneau Borough/city, AK",0.028
2122,AK,"Kenai Peninsula Borough, AK",0.045
2130,AK,"Ketchikan Gateway Borough, AK",0.038
2150,AK,"Kodiak Island Borough, AK",0.043
2158,AK,"Kusilvak Census Area, AK",0.129
2164,AK,"Lake and Peninsula Borough, AK",0.058
2170,AK,"Matanuska-Susitna Borough, AK",0.046
2180,AK,"Nome Census Area, AK",0.069
2185,AK,"North Slope Borough, AK",0.05
2188,AK,"Northwest Arctic Borough, AK",0.09
2195,AK,"Petersburg Borough, AK",0.058
2198,AK,"Prince of Wales-Hyder Census Area, AK",0.055
2201,AK,"Prince of Wales-Outer Ketchikan Census Area, AK",0
2220,AK,"Sitka Borough/city, AK",0.028
2230,AK,"Skagway Municipality, AK",0.067
2232,AK,"Skagway-Hoonah-Angoon Census Area, AK",0
