,coef,std err,z,P>|z|,[0.025,0.975]
const,2.48,6.182,0.401,0.688,-9.637,14.597
population,6.638e-06,1.66e-06,3.999,0.0,3.38e-06,9.89e-06
redCounty,0.2218,0.515,0.43,0.667,-0.789,1.232
unemploymentRate,22.8621,32.548,0.702,0.482,-40.93,86.654
povertyProp,-21.0028,12.236,-1.716,0.086,-44.985,2.98
tempDiff,0.4889,0.296,1.651,0.099,-0.092,1.07
numDisasters,-0.0038,0.004,-1.033,0.302,-0.011,0.003
avgEmissionsPerCapita,0.0677,0.043,1.59,0.112,-0.016,0.151
lessThanHighSchoolProp,-2.852,7.323,-0.389,0.697,-17.205,11.501
medianHouseholdIncome,4.577e-05,3.24e-05,1.413,0.158,-1.77e-05,0.0
medianAge,-0.1402,0.074,-1.882,0.06,-0.286,0.006
whiteProp,2.2028,1.714,1.285,0.199,-1.157,5.563
