,coef,std err,z,P>|z|,[0.025,0.975]
const,-1.3016,2.036,-0.639,0.523,-5.291,2.688
population,1.29e-06,7.97e-07,1.618,0.106,-2.73e-07,2.85e-06
redCounty,-0.6769,0.4,-1.69,0.091,-1.462,0.108
unemploymentRate,-8.6848,23.146,-0.375,0.707,-54.05,36.681
povertyProp,-4.9832,7.143,-0.698,0.485,-18.983,9.016
tempDiff,-0.0582,0.184,-0.316,0.752,-0.42,0.303
numDisasters,-0.0035,0.003,-1.342,0.18,-0.009,0.002
avgEmissionsPerCapita,0.0522,0.035,1.47,0.142,-0.017,0.122
lessThanHighSchoolProp,1.5497,5.532,0.28,0.779,-9.292,12.392
medianHouseholdIncome,2.956e-05,1.64e-05,1.798,0.072,-2.67e-06,6.18e-05
