,coef,std err,z,P>|z|,[0.025,0.975]
const,-0.6963,4.38,-0.159,0.874,-9.28,7.888
population,9.725e-07,5.2e-07,1.87,0.061,-4.66e-08,1.99e-06
redCounty,-0.0495,0.403,-0.123,0.902,-0.839,0.74
unemploymentRate,22.0077,24.594,0.895,0.371,-26.196,70.211
povertyProp,6.0801,8.876,0.685,0.493,-11.316,23.477
tempDiff,0.1765,0.224,0.788,0.43,-0.262,0.615
numDisasters,-0.0015,0.003,-0.569,0.57,-0.007,0.004
avgEmissionsPerCapita,-0.0034,0.029,-0.117,0.907,-0.061,0.054
lessThanHighSchoolProp,-8.9975,5.859,-1.536,0.125,-20.481,2.486
medianHouseholdIncome,3.832e-05,1.93e-05,1.983,0.047,4.39e-07,7.62e-05
medianAge,-0.0949,0.06,-1.587,0.112,-0.212,0.022
whiteProp,1.8492,1.229,1.504,0.132,-0.56,4.258
