,coef,std err,z,P>|z|,[0.025,0.975]
const,7.1363,4.706,1.516,0.129,-2.087,16.36
population,1.677e-06,5.22e-07,3.209,0.001,6.53e-07,2.7e-06
redCounty,-0.2276,0.452,-0.504,0.614,-1.113,0.657
unemploymentRate,6.4997,26.862,0.242,0.809,-46.149,59.149
povertyProp,-6.989,10.662,-0.656,0.512,-27.885,13.907
tempDiff,0.1049,0.233,0.449,0.653,-0.353,0.562
numDisasters,-0.0018,0.003,-0.679,0.497,-0.007,0.003
avgEmissionsPerCapita,-0.0416,0.031,-1.351,0.177,-0.102,0.019
lessThanHighSchoolProp,-10.9615,6.025,-1.819,0.069,-22.77,0.847
medianHouseholdIncome,4.855e-06,2.2e-05,0.221,0.825,-3.83e-05,4.8e-05
medianAge,-0.0938,0.062,-1.519,0.129,-0.215,0.027
whiteProp,-1.1494,1.521,-0.756,0.45,-4.13,1.831
