,coef,std err,z,P>|z|,[0.025,0.975]
const,-8.3588,3.906,-2.14,0.032,-16.014,-0.704
population,1.287e-06,3.48e-07,3.692,0.0,6.04e-07,1.97e-06
redCounty,-0.3825,0.401,-0.954,0.34,-1.168,0.403
unemploymentRate,20.3213,25.264,0.804,0.421,-29.196,69.838
povertyProp,22.8593,8.343,2.74,0.006,6.508,39.211
tempDiff,0.2441,0.209,1.165,0.244,-0.166,0.655
numDisasters,-0.0006,0.003,-0.226,0.821,-0.006,0.005
avgEmissionsPerCapita,0.0134,0.027,0.488,0.625,-0.04,0.067
lessThanHighSchoolProp,-12.0784,6.0,-2.013,0.044,-23.839,-0.318
medianHouseholdIncome,7.42e-05,1.96e-05,3.789,0.0,3.58e-05,0.0
medianAge,-0.0315,0.05,-0.626,0.531,-0.13,0.067
whiteProp,1.6235,1.141,1.423,0.155,-0.613,3.86
