,coef,std err,z,P>|z|,[0.025,0.975]
const,-4.9208,3.353,-1.467,0.142,-11.493,1.652
population,1.528e-08,2.05e-07,0.074,0.941,-3.87e-07,4.18e-07
redCounty,0.2834,0.799,0.355,0.723,-1.282,1.849
unemploymentRate,-14.2487,49.016,-0.291,0.771,-110.319,81.821
povertyProp,20.7779,13.63,1.524,0.127,-5.936,47.492
tempDiff,-0.2694,0.346,-0.78,0.436,-0.947,0.408
numDisasters,0.0128,0.006,1.983,0.047,0.0,0.025
avgEmissionsPerCapita,0.0024,0.061,0.04,0.968,-0.117,0.122
lessThanHighSchoolProp,-22.1627,14.934,-1.484,0.138,-51.432,7.107
medianHouseholdIncome,-2.959e-07,2.4e-05,-0.012,0.99,-4.74e-05,4.68e-05
