,coef,std err,z,P>|z|,[0.025,0.975]
const,-7.0407,5.001,-1.408,0.159,-16.842,2.761
population,7.063e-07,2.87e-07,2.462,0.014,1.44e-07,1.27e-06
redCounty,-0.7139,0.455,-1.569,0.117,-1.606,0.178
unemploymentRate,-45.8746,29.504,-1.555,0.12,-103.701,11.952
povertyProp,29.774,12.565,2.37,0.018,5.148,54.4
tempDiff,-0.3438,0.246,-1.396,0.163,-0.827,0.139
numDisasters,0.0003,0.003,0.089,0.929,-0.006,0.006
avgEmissionsPerCapita,0.0123,0.049,0.248,0.804,-0.085,0.109
lessThanHighSchoolProp,-0.5495,6.007,-0.091,0.927,-12.322,11.223
medianHouseholdIncome,4.572e-05,2.16e-05,2.118,0.034,3.41e-06,8.8e-05
medianAge,0.0598,0.061,0.989,0.323,-0.059,0.178
whiteProp,0.6053,1.502,0.403,0.687,-2.338,3.549
