,coef,std err,z,P>|z|,[0.025,0.975]
const,1.5733,5.734,0.274,0.784,-9.665,12.812
population,1.403e-06,1.02e-06,1.369,0.171,-6.05e-07,3.41e-06
redCounty,0.643,0.478,1.346,0.178,-0.294,1.58
unemploymentRate,29.5499,29.415,1.005,0.315,-28.103,87.202
povertyProp,-2.4839,11.491,-0.216,0.829,-25.006,20.039
tempDiff,0.3517,0.285,1.235,0.217,-0.206,0.91
numDisasters,-0.0033,0.004,-0.914,0.361,-0.01,0.004
avgEmissionsPerCapita,0.0442,0.037,1.209,0.227,-0.027,0.116
lessThanHighSchoolProp,-7.79,7.039,-1.107,0.268,-21.586,6.006
medianHouseholdIncome,5.408e-05,3.06e-05,1.766,0.077,-5.94e-06,0.0
medianAge,-0.1556,0.069,-2.24,0.025,-0.292,-0.019
whiteProp,1.4624,1.762,0.83,0.406,-1.99,4.915
