,coef,std err,z,P>|z|,[0.025,0.975]
const,-3.8236,4.141,-0.923,0.356,-11.94,4.293
population,8.474e-07,3.02e-07,2.808,0.005,2.56e-07,1.44e-06
redCounty,-0.2678,0.384,-0.697,0.486,-1.021,0.485
unemploymentRate,28.2781,23.568,1.2,0.23,-17.915,74.471
povertyProp,6.9209,9.081,0.762,0.446,-10.878,24.72
tempDiff,0.3567,0.225,1.586,0.113,-0.084,0.798
numDisasters,-0.0018,0.002,-0.751,0.453,-0.007,0.003
avgEmissionsPerCapita,0.0004,0.027,0.016,0.987,-0.053,0.054
lessThanHighSchoolProp,-4.79,5.479,-0.874,0.382,-15.528,5.948
medianHouseholdIncome,5.599e-05,1.9e-05,2.953,0.003,1.88e-05,9.32e-05
medianAge,-0.0718,0.056,-1.292,0.196,-0.181,0.037
whiteProp,1.2963,1.175,1.103,0.27,-1.008,3.6
