,coef,std err,z,P>|z|,[0.025,0.975]
const,-2.2981,1.065,-2.157,0.031,-4.386,-0.21
population,5.141e-06,1.11e-06,4.612,0.0,2.96e-06,7.33e-06
redCounty,-1.6347,0.265,-6.165,0.0,-2.154,-1.115
redState,-0.5035,0.313,-1.609,0.108,-1.117,0.11
unemploymentRate,-37.6075,13.662,-2.753,0.006,-64.385,-10.83
povertyProp,7.0573,3.276,2.154,0.031,0.636,13.478
tempDiff,0.0375,0.116,0.323,0.746,-0.19,0.265
numDisasters,0.004,0.001,3.446,0.001,0.002,0.006
avgEmissionsPerCapita,-0.0395,0.023,-1.689,0.091,-0.085,0.006
lessThanHighSchoolProp,-11.4064,3.133,-3.641,0.0,-17.546,-5.266
medianHouseholdIncome,-1.358e-08,6.56e-06,-0.002,0.998,-1.29e-05,1.28e-05
