,coef,std err,z,P>|z|,[0.025,0.975]
const,-4.5465,2.664,-1.707,0.088,-9.767,0.674
population,1.577e-06,1.03e-06,1.537,0.124,-4.34e-07,3.59e-06
redCounty,0.6372,0.482,1.322,0.186,-0.307,1.581
unemploymentRate,11.914,25.905,0.46,0.646,-38.859,62.687
povertyProp,6.1274,8.426,0.727,0.467,-10.388,22.643
tempDiff,0.0051,0.216,0.024,0.981,-0.418,0.429
numDisasters,-0.0037,0.004,-1.037,0.3,-0.011,0.003
avgEmissionsPerCapita,0.057,0.041,1.396,0.163,-0.023,0.137
lessThanHighSchoolProp,-6.5227,6.586,-0.99,0.322,-19.431,6.386
medianHouseholdIncome,5.737e-05,2.53e-05,2.27,0.023,7.83e-06,0.0
