city,county,state,fips,latitude,longitude,population,redState,unemploymentRate,povertyProp,tempDiff,numDisasters,avgEmissionsPerCapita,UNFCCC,hasCommitments,hasActionsUndertaken,hasEmissionInventory,hasInitiativeParticipations,hasImpact,hasMitigations,hasAdaptations,hasRiskAssessments,hasClimateActionPlans,hasFinanceActions
Park Forest,Cook,IL,17031.0,41.4817,-87.6867,21042.0,False,0.048,0.138,0.017488095238093138,60.0,15.483333333333333,False,True,True,False,False,False,True,True,True,True,False
Emeryville,Alameda,CA,6001.0,37.8382,-122.2932,12840.0,False,0.053,0.094,-0.8213214285714301,284.0,8.716666666666669,False,True,True,True,True,False,True,True,True,True,False
Grand Rapids,Kent,MI,26081.0,42.9619,-85.6562,609023.0,False,0.039,0.099,-0.7531666666666652,37.0,15.283333333333333,False,True,True,False,True,False,True,True,True,False,False
Fremont,Alameda,CA,6001.0,37.5265,-121.9843,228795.0,False,0.053,0.094,-0.8213214285714301,284.0,8.716666666666669,False,True,True,True,True,False,True,True,True,True,False
Fort Worth,Tarrant,TX,48439.0,32.7817,-97.3474,924663.0,True,0.039,0.11599999999999999,-0.08552380952381,255.0,23.05,False,False,True,False,False,False,False,True,False,False,False
Fort Collins,Larimer,CO,8069.0,40.5477,-105.0656,335398.0,False,0.035,0.11199999999999999,-0.07192857142857179,80.0,15.333333333333334,False,True,True,True,True,False,True,True,True,True,False
Flagstaff,Coconino,AZ,4005.0,35.1872,-111.6194,80167.0,False,0.041,0.16899999999999998,-0.5132976190476164,68.0,12.383333333333335,False,True,True,True,True,False,True,True,True,True,False
Fayetteville,Washington,AR,5143.0,36.0714,-94.1661,394650.0,True,0.036,0.124,0.912119047619047,71.0,20.983333333333334,False,True,True,False,True,False,True,True,True,True,False
Evanston,Cook,IL,17031.0,42.0464,-87.6943,77181.0,False,0.048,0.138,0.017488095238093138,60.0,15.483333333333333,False,True,True,True,True,False,True,False,False,False,False
Eugene,Lane,OR,41039.0,44.0564,-123.1174,270990.0,False,0.042,0.14400000000000002,-1.1447023809523849,79.0,9.316666666666666,False,True,True,True,True,True,True,True,True,True,False
Encinitas,San Diego,CA,6073.0,33.0492,-117.261,61942.0,False,0.053,0.107,-0.8213214285714301,284.0,8.716666666666669,False,True,True,True,False,True,True,True,True,True,False
Eau Claire,Eau Claire,WI,55035.0,44.8197,-91.4948,109491.0,False,0.03,0.125,-1.2923571428571456,47.0,16.3,False,True,True,True,True,False,True,True,False,True,False
Cupertino,Santa Clara,CA,6085.0,37.3168,-122.0466,59763.0,False,0.053,0.069,-0.8213214285714301,284.0,8.716666666666669,False,True,True,True,True,False,True,True,True,True,False
Easton,Northampton,PA,42095.0,40.6858,-75.2209,28883.0,False,0.034,0.09699999999999999,-0.3781428571428549,59.0,16.566666666666666,False,True,True,True,True,False,True,True,False,True,False
Durham,Durham,NC,37063.0,35.9792,-78.9022,399616.0,True,0.035,0.134,0.8821071428571443,59.0,11.483333333333334,False,True,True,False,False,False,True,False,False,False,False
Duluth,St. Louis,MN,27137.0,46.7756,-92.1393,118574.0,False,0.027,0.138,-2.001428571428576,60.0,15.733333333333333,False,True,True,False,True,False,True,True,True,True,False
Dubuque,Dubuque,IA,19061.0,42.5002,-90.707,68601.0,True,0.029,0.081,-1.4649642857142844,63.0,23.683333333333337,False,True,True,True,True,False,True,True,True,True,False
Dublin,Alameda,CA,6001.0,37.7161,-121.8963,71068.0,False,0.053,0.094,-0.8213214285714301,284.0,8.716666666666669,False,False,True,False,False,False,True,False,False,False,False
Detroit,Wayne,MI,26163.0,42.3834,-83.1024,3725908.0,False,0.039,0.196,-0.7531666666666652,37.0,15.283333333333333,False,True,True,True,True,True,True,False,False,False,False
Des Moines,Polk,IA,19153.0,41.5725,-93.6105,548926.0,True,0.029,0.10099999999999999,-1.4649642857142844,63.0,23.683333333333337,False,True,True,True,True,False,True,True,True,True,False
Denver,Denver,CO,8031.0,39.762,-104.8758,2687458.0,False,0.035,0.11699999999999999,-0.07192857142857179,80.0,15.333333333333334,False,True,True,True,True,False,True,True,True,True,False
Denton,Denton,TX,48121.0,33.2175,-97.1418,438492.0,True,0.039,0.07400000000000001,-0.08552380952381,255.0,23.05,False,True,True,False,True,False,True,True,True,False,False
Greenbelt,Prince George's,MD,24033.0,38.9953,-76.8885,24646.0,False,0.024,0.115,-0.1876785714285738,32.0,9.183333333333332,False,True,True,False,True,False,True,True,False,True,False
Greensboro,Guilford,NC,37081.0,36.0956,-79.8271,347130.0,True,0.035,0.135,0.8821071428571443,59.0,11.483333333333334,False,True,True,False,False,False,True,False,True,True,True
Gretna,Jefferson,LA,22051.0,29.9101,-90.0515,17640.0,True,0.042,0.175,1.2045357142857114,79.0,40.93333333333333,False,False,True,False,False,False,True,False,False,False,False
Hallandale Beach,Broward,FL,12011.0,25.9854,-80.1423,41102.0,True,0.031,0.128,1.8295714285714304,130.0,10.883333333333333,False,True,True,True,True,False,True,True,True,True,False
Long Beach,Los Angeles,CA,6037.0,33.7977,-118.167,462293.0,False,0.053,0.141,-0.8213214285714301,284.0,8.716666666666669,False,False,True,True,True,False,True,True,True,True,True
Las Vegas,Clark,NV,32003.0,36.2333,-115.2654,2248047.0,False,0.052,0.151,-1.1436547619047666,73.0,13.083333333333334,False,True,True,True,True,False,True,True,True,True,False
Lansing,Ingham,MI,26065.0,42.7142,-84.5601,322561.0,False,0.039,0.158,-0.7531666666666652,37.0,15.283333333333333,False,True,False,False,True,False,False,False,False,False,False
Lakewood,Jefferson,CO,8059.0,39.6977,-105.1172,156149.0,False,0.035,0.073,-0.07192857142857179,80.0,15.333333333333334,False,True,True,True,True,False,True,True,True,True,False
Lake Forest,Lake,IL,17097.0,42.238,-87.8596,19436.0,False,0.048,0.085,0.017488095238093138,60.0,15.483333333333333,False,True,True,False,False,False,True,True,False,True,False
La Crosse,La Crosse,WI,55063.0,43.8241,-91.2268,94627.0,False,0.03,0.121,-1.2923571428571456,47.0,16.3,False,True,True,True,True,False,True,True,True,True,False
Knoxville,Knox,TN,47093.0,35.9692,-83.9496,615829.0,True,0.033,0.121,1.395500000000002,69.0,13.716666666666667,False,True,True,True,True,False,True,True,True,True,False
Key West,Monroe,FL,12087.0,24.5642,-81.7775,26078.0,True,0.031,0.11,1.8295714285714304,130.0,10.883333333333333,False,True,True,False,False,False,True,False,False,False,False
Jersey City,Hudson,NJ,34017.0,40.7184,-74.0686,287899.0,False,0.048,0.159,-0.4110119047619065,50.0,10.799999999999999,False,True,True,True,True,False,True,True,True,True,False
Ithaca,Tompkins,NY,36109.0,42.4442,-76.5032,31359.0,False,0.044,0.162,-0.9301904761904787,95.0,8.316666666666666,False,True,True,True,True,False,True,False,False,False,False
Iowa City,Johnson,IA,19103.0,41.6559,-91.5303,130736.0,True,0.029,0.147,-1.4649642857142844,63.0,23.683333333333337,False,True,True,True,True,False,True,True,True,True,False
Indianapolis,Marion,IN,18097.0,39.7771,-86.1458,1729849.0,True,0.035,0.151,0.5251547619047621,48.0,25.883333333333336,False,True,True,True,True,False,True,True,False,True,False
Houston,Harris,TX,48201.0,29.786,-95.3885,5970127.0,True,0.039,0.16399999999999998,-0.08552380952381,255.0,23.05,False,True,True,True,True,False,True,True,True,True,False
Hollywood,Broward,FL,12011.0,26.0293,-80.1679,152764.0,True,0.031,0.128,1.8295714285714304,130.0,10.883333333333333,False,True,True,False,False,False,True,True,True,True,False
Holland,Ottawa,MI,26139.0,42.7677,-86.0984,105134.0,False,0.039,0.075,-0.7531666666666652,37.0,15.283333333333333,False,False,True,False,False,False,True,False,False,False,False
Hoboken,Hudson,NJ,34017.0,40.7452,-74.0281,58754.0,False,0.048,0.159,-0.4110119047619065,50.0,10.799999999999999,False,True,True,False,True,False,True,True,True,True,False
Highland Park,Lake,IL,17097.0,42.1823,-87.8104,30209.0,False,0.048,0.085,0.017488095238093138,60.0,15.483333333333333,False,False,True,True,True,False,True,True,True,False,False
Henderson,Clark,NV,32003.0,36.0133,-115.0381,318063.0,False,0.052,0.151,-1.1436547619047666,73.0,13.083333333333334,False,False,True,True,False,False,True,True,True,False,False
Hayward,Alameda,CA,6001.0,37.6328,-122.0766,160602.0,False,0.053,0.094,-0.8213214285714301,284.0,8.716666666666669,False,True,True,True,True,False,True,True,True,True,False
Dallas,Dallas,TX,48113.0,32.7935,-96.7667,5830932.0,True,0.039,0.14400000000000002,-0.08552380952381,255.0,23.05,False,True,True,True,True,False,True,True,True,True,False
