city,county,state,fips,latitude,longitude,population,redCounty,redState,unemploymentRate,povertyProp,tempDiff,numDisasters,avgEmissionsPerCapita,lessThanHighSchoolProp,medianHouseholdIncome,UNFCCC,hasCommitments,hasActionsUndertaken,hasEmissionInventory,hasInitiativeParticipations,hasImpact,hasMitigations,hasAdaptations,hasRiskAssessments,hasClimateActionPlans,hasFinanceActions
New York City,Queens,NY,36081,40.6943,-73.9249,18908608,False,False,0.052,0.136,-0.9301904761904787,95.0,8.316666666666666,0.17298275298150478,72807.0,True,True,True,True,True,False,True,True,True,True,False
Los Angeles,Los Angeles,CA,6037,34.1141,-118.4068,11922389,False,False,0.049,0.141,-0.8213214285714301,284.0,8.716666666666669,0.199571630472485,77356.0,True,True,True,True,True,False,True,True,True,True,True
Chicago,Cook,IL,17031,41.8375,-87.6866,8497759,False,False,0.05,0.138,0.017488095238093138,60.0,15.483333333333333,0.1202660654913189,72063.0,True,True,True,True,True,False,True,True,True,True,True
Miami,Miami-Dade,FL,12086,25.784,-80.2101,6080145,False,True,0.026,0.152,1.8295714285714304,130.0,10.883333333333333,0.17510282109260292,58905.0,True,True,True,True,True,False,True,True,True,True,False
Houston,Harris,TX,48201,29.786,-95.3885,5970127,False,True,0.042,0.16399999999999998,-0.08552380952381,255.0,23.05,0.1813170496429777,63539.0,True,True,True,True,True,False,True,True,True,True,False
Dallas,Dallas,TX,48113,32.7935,-96.7667,5830932,False,True,0.037,0.14400000000000002,-0.08552380952381,255.0,23.05,0.1927701005212322,63549.0,True,True,True,True,True,False,True,True,True,True,False
Philadelphia,Philadelphia,PA,42101,40.0077,-75.1339,5683533,False,False,0.054,0.223,-0.3781428571428549,59.0,16.566666666666666,0.1344967286356712,52882.0,True,True,True,True,True,False,True,True,True,True,False
Atlanta,Fulton,GA,13121,33.7628,-84.422,5180179,False,False,0.032,0.13699999999999998,,65.0,12.716666666666669,0.0675437451937892,82820.0,True,True,True,True,True,False,True,True,True,True,True
Washington,District of Columbia,DC,11001,38.9047,-77.0163,5116378,False,False,0.047,0.168,,,3.866666666666667,0.07777727658562389,91072.0,False,False,False,False,False,False,False,False,False,False,False
Boston,Suffolk,MA,25025,42.3188,-71.0852,4328315,False,False,0.036,0.185,-0.6152499999999996,47.0,8.799999999999999,0.1298803008215075,77163.0,True,True,True,True,True,False,True,True,True,True,False
